uri,name
http://n2t.net/ark:/39333/ncg/place/NCG00644,Barker Butt
http://n2t.net/ark:/39333/ncg/place/NCG01196,Big Butt
http://n2t.net/ark:/39333/ncg/place/NCG01197,Big Butt
http://n2t.net/ark:/39333/ncg/place/NCG01198,Big Butt Creek
http://n2t.net/ark:/39333/ncg/place/NCG01199,Big Butt Knob
http://n2t.net/ark:/39333/ncg/place/NCG01200,Big Butt Mountain
http://n2t.net/ark:/39333/ncg/place/NCG19842,Big Butt Mountain
http://n2t.net/ark:/39333/ncg/place/NCG01201,Big Butte
http://n2t.net/ark:/39333/ncg/place/NCG01202,Big Butte Mountain
http://n2t.net/ark:/39333/ncg/place/NCG01559,Bluebutton
http://n2t.net/ark:/39333/ncg/place/NCG01735,Bradley Butt
http://n2t.net/ark:/39333/ncg/place/NCG02275,Butt Mountain
http://n2t.net/ark:/39333/ncg/place/NCG20154,Butt Mountain
http://n2t.net/ark:/39333/ncg/place/NCG02276,Butte Mountain
http://n2t.net/ark:/39333/ncg/place/NCG20155,Butte Mountain
http://n2t.net/ark:/39333/ncg/place/NCG02277,Butter Gap
http://n2t.net/ark:/39333/ncg/place/NCG02278,Buttermilk Creek
http://n2t.net/ark:/39333/ncg/place/NCG02279,Buttermilk Mountain
http://n2t.net/ark:/39333/ncg/place/NCG02280,Butters
http://n2t.net/ark:/39333/ncg/place/NCG02281,Butterwood Creek
http://n2t.net/ark:/39333/ncg/place/NCG02282,Butterwood Township
http://n2t.net/ark:/39333/ncg/place/NCG02283,Button Bay
http://n2t.net/ark:/39333/ncg/place/NCG02284,Button Branch
http://n2t.net/ark:/39333/ncg/place/NCG03092,Choggy Butte Mountain
http://n2t.net/ark:/39333/ncg/place/NCG08871,Little Butt Knob
http://n2t.net/ark:/39333/ncg/place/NCG12548,Rector Butte
http://n2t.net/ark:/39333/ncg/place/NCG12992,Rocky Butte Mountain
http://n2t.net/ark:/39333/ncg/place/NCG13125,Rough Butt Bald
http://n2t.net/ark:/39333/ncg/place/NCG13126,Rough Butt Creek
