watercourse,watercourseLabel,type,typeLabel
http://www.wikidata.org/entity/Q32840599,Big Branch,http://www.wikidata.org/entity/Q4022,river
http://www.wikidata.org/entity/Q32844796,Bolin Creek,http://www.wikidata.org/entity/Q4022,river
http://www.wikidata.org/entity/Q32844987,Booker Creek,http://www.wikidata.org/entity/Q4022,river
http://www.wikidata.org/entity/Q32847886,Buck Branch,http://www.wikidata.org/entity/Q4022,river
http://www.wikidata.org/entity/Q32848316,Buckhorn Branch,http://www.wikidata.org/entity/Q4022,river
http://www.wikidata.org/entity/Q32851801,Cane Creek,http://www.wikidata.org/entity/Q4022,river
http://www.wikidata.org/entity/Q32854743,Cates Creek,http://www.wikidata.org/entity/Q4022,river
http://www.wikidata.org/entity/Q56507630,Cedar Fork,http://www.wikidata.org/entity/Q55659167,natural watercourse
http://www.wikidata.org/entity/Q34765096,Chapel Creek,http://www.wikidata.org/entity/Q4022,river
http://www.wikidata.org/entity/Q56512136,Church Branch,http://www.wikidata.org/entity/Q55659167,natural watercourse
http://www.wikidata.org/entity/Q56518567,Crabtree Creek,http://www.wikidata.org/entity/Q55659167,natural watercourse
http://www.wikidata.org/entity/Q34801648,Crow Branch,http://www.wikidata.org/entity/Q4022,river
http://www.wikidata.org/entity/Q56543642,Dry Run,http://www.wikidata.org/entity/Q55659167,natural watercourse
http://www.wikidata.org/entity/Q56546120,East Branch Price Creek,http://www.wikidata.org/entity/Q55659167,natural watercourse
http://www.wikidata.org/entity/Q56568904,East Fork Eno River,http://www.wikidata.org/entity/Q55659167,natural watercourse
http://www.wikidata.org/entity/Q14707960,Haw River,http://www.wikidata.org/entity/Q4022,river
http://www.wikidata.org/entity/Q35293646,Little Creek,http://www.wikidata.org/entity/Q47521,stream
http://www.wikidata.org/entity/Q35356054,Long Branch,http://www.wikidata.org/entity/Q47521,stream
http://www.wikidata.org/entity/Q7008790,New Hope Creek,http://www.wikidata.org/entity/Q4022,river
http://www.wikidata.org/entity/Q35291324,Pritchard Mill Creek,http://www.wikidata.org/entity/Q47521,stream
http://www.wikidata.org/entity/Q35262697,Rocky Run,http://www.wikidata.org/entity/Q47521,stream
http://www.wikidata.org/entity/Q35317402,South Fork Little River,http://www.wikidata.org/entity/Q47521,stream
http://www.wikidata.org/entity/Q35375971,Steep Bottom Branch,http://www.wikidata.org/entity/Q47521,stream
http://www.wikidata.org/entity/Q35401319,Stony Creek,http://www.wikidata.org/entity/Q47521,stream
http://www.wikidata.org/entity/Q35425720,Strouds Creek,http://www.wikidata.org/entity/Q47521,stream
http://www.wikidata.org/entity/Q34924715,Tanbark Branch,http://www.wikidata.org/entity/Q4022,river
http://www.wikidata.org/entity/Q34843236,Watery Fork,http://www.wikidata.org/entity/Q4022,river
http://www.wikidata.org/entity/Q34864413,West Branch Price Creek,http://www.wikidata.org/entity/Q4022,river
http://www.wikidata.org/entity/Q34870577,West Fork Eno River,http://www.wikidata.org/entity/Q4022,river
http://www.wikidata.org/entity/Q34904021,Wildcat Branch,http://www.wikidata.org/entity/Q4022,river
http://www.wikidata.org/entity/Q34918190,Wilson Creek,http://www.wikidata.org/entity/Q4022,river
